SKU	Product Name	Product Description	Bullet Points	Manufacturer	Brand Name	Price	Currency	In Stock	Image URL	Image URL1	Image URL2	
ST4GAMAAQDF_12	Aliens - Alien Queen Deluxe Figure	Aliens - Alien Queen Deluxe Figure		Action Figures &amp; Apparel	Action Figures &amp; Apparel	134.95	CDN	15	http://store.401games.ca//img/product/id=377219			
ST4GAMAOJPAK_36	Arkham Origins - Joker Play Arts Kai	Arkham Origins - Joker Play Arts Kai		Action Figures &amp; Apparel	Action Figures &amp; Apparel	109.95	CDN	0	http://store.401games.ca//img/product/id=314153			
ST4GAMAORPAK_38	Arkham Origins - Robin Play Arts Kai	Arkham Origins - Robin Play Arts Kai		Action Figures &amp; Apparel	Action Figures &amp; Apparel	109.95	CDN	1	http://store.401games.ca//img/product/id=314157			
ST4GAMALFSPV_19	Altimites - Lion Force Super Posable Voltron	Altimites - Lion Force Super Posable Voltron		Action Figures &amp; Apparel	Action Figures &amp; Apparel	104.94	CDN	0	http://store.401games.ca//img/product/id=296467			
ST4GAMAABPAK_29746	Appleseed Alpha - Briareos - Play Arts Kai	Appleseed Alpha - Briareos - Play Arts Kai		Action Figures &amp; Apparel	Action Figures &amp; Apparel	99.95	CDN	0	http://store.401games.ca//img/product/id=403816			
ST4GAMAADKPAK_29747	Appleseed Alpha - Deunan Knute - Play Arts Kai	Appleseed Alpha - Deunan Knute - Play Arts Kai		Action Figures &amp; Apparel	Action Figures &amp; Apparel	99.95	CDN	0	http://store.401games.ca//img/product/id=403820			
ST4GAMAASGDF_27	Arkham Asylum - Solomon Grundy Deluxe Figure	Arkham Asylum - Solomon Grundy Deluxe Figure		Action Figures &amp; Apparel	Action Figures &amp; Apparel	89.95	CDN	6	http://store.401games.ca//img/product/id=172777			
ST4GAMACBPAK_29749	Arkham City - Batman Play Arts Kai	Arkham City - Batman Play Arts Kai		Action Figures &amp; Apparel	Action Figures &amp; Apparel	79.95	CDN	0	http://store.401games.ca//img/product/id=204942			
ST4GAMACJPAK_29750	Arkham City - Joker Play Arts Kai	Arkham City - Joker Play Arts Kai		Action Figures &amp; Apparel	Action Figures &amp; Apparel	79.95	CDN	0	http://store.401games.ca//img/product/id=172815			
ST4GAMAATJDF_28	Arkham Asylum - Titan Joker Deluxe Figure	Arkham Asylum - Titan Joker Deluxe Figure		Action Figures &amp; Apparel	Action Figures &amp; Apparel	72.95	CDN	2	http://store.401games.ca//img/product/id=172778			
ST4GAMACBPA_29	Arkham City - Batman Play Arts	Arkham City - Batman Play Arts		Action Figures &amp; Apparel	Action Figures &amp; Apparel	59.95	CDN	5	http://store.401games.ca//img/product/id=172781			
ST4GAMACPANR_34	Arkham City Play Arts - No3 - Robin	Arkham City Play Arts - No3 - Robin		Action Figures &amp; Apparel	Action Figures &amp; Apparel	59.95	CDN	1	http://store.401games.ca//img/product/id=204967			
ST4GAMACPANB_33	Arkham City Play Arts - No4 - Batman	Arkham City Play Arts - No4 - Batman		Action Figures &amp; Apparel	Action Figures &amp; Apparel	59.95	CDN	0	http://store.401games.ca//img/product/id=204965			
ST4GAMAJQATF_23	Ame-Comi Jesse Quick (as the Flash)	Ame-Comi Jesse Quick (as the Flash)		Action Figures &amp; Apparel	Action Figures &amp; Apparel	54.95	CDN	1	http://store.401games.ca//img/product/id=172736			
ST4GAMASVBSV_22	Ame-Comi Supergirl V1 (Black Suit Variant)	Ame-Comi Supergirl V1 (Black Suit Variant)		Action Figures &amp; Apparel	Action Figures &amp; Apparel	54.95	CDN	3	http://store.401games.ca//img/product/id=172742			
ST4GAMABTTFD1SK_26	Aoshima - Back to the Future - Delorean 1/24 ScaleModel Kit	Go back in time, and build your ride for the future! Marty McFly's and Doc Brown's timeless DeLorean from Back to the Future I can now be yours in 1:24 scale as a model kit. This detailed DMC DeLorean 1:24 scale model kit is accurately detailed down to even the rims of the car! The Back to the Future I DeLorean 1:24 scale model kit requires assembly with glue and paint, Not included. Ages 15 and up.		Action Figures &amp; Apparel	Action Figures &amp; Apparel	54.95	CDN	0	http://store.401games.ca//img/product/id=309159			
ST4GAMANOES2RFF_2	A Nightmare on Elm Street 2 - Retro Figure Freddy	A Nightmare on Elm Street 2 - Retro Figure Freddy		Action Figures &amp; Apparel	Action Figures &amp; Apparel	41.95	CDN	1	http://store.401games.ca//img/product/id=329815			
ST4GAMAABAPA_29748	Arkham Asylum - Batman Armored Play Arts	Arkham Asylum - Batman Armored Play Arts		Action Figures &amp; Apparel	Action Figures &amp; Apparel	39.95	CDN	0	http://store.401games.ca//img/product/id=172783			
ST4GAMACMHHQ2_31	Arkham City - Mr Hammer & Harley Quinn 2-Pack	Arkham City - Mr Hammer & Harley Quinn 2-Pack		Action Figures &amp; Apparel	Action Figures &amp; Apparel	39.95	CDN	0	http://store.401games.ca//img/product/id=172802			
